UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
222567,R,327.0,R,2022.0,R,16.0,R,370.0,Z,0.0,Z,0.0,R,370.0,R,205.0,R,55.0,R,344.0,Z,0.0,Z,0.0,R,344.0,R,144.0,R,42.0,R,12.0,2020
222576,R,933.0,R,2433.0,R,38.0,R,1261.0,R,0.0,R,0.0,R,1261.0,R,784.0,R,62.0,R,395.0,R,1.0,R,0.0,R,394.0,R,169.0,R,43.0,R,19.0,2020
222822,R,212.0,R,1291.0,R,16.0,R,490.0,R,0.0,R,0.0,R,490.0,R,74.0,R,15.0,R,173.0,R,0.0,R,0.0,R,173.0,R,22.0,R,13.0,R,14.0,2020
222831,R,1258.0,R,3834.0,R,33.0,R,1424.0,R,0.0,Z,0.0,R,1424.0,R,1010.0,R,71.0,R,12.0,R,0.0,Z,0.0,R,12.0,R,2.0,R,17.0,R,21.0,2020
222992,R,2378.0,R,8976.0,R,26.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,1.0,Z,0.0,Z,0.0,R,1.0,R,1.0,R,100.0,R,20.0,2020
223320,R,243.0,R,485.0,R,50.0,R,402.0,R,0.0,R,0.0,R,402.0,R,171.0,R,43.0,R,181.0,R,0.0,R,0.0,R,181.0,R,78.0,R,43.0,R,25.0,2020
223427,R,3141.0,R,7950.0,R,40.0,R,4166.0,R,0.0,R,0.0,R,4166.0,R,2220.0,R,53.0,R,2008.0,R,0.0,R,0.0,R,2008.0,R,869.0,R,43.0,R,36.0,2020
223506,R,193.0,R,1172.0,R,16.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12.0,2020
223816,R,364.0,R,2009.0,R,18.0,R,910.0,R,2.0,R,0.0,R,908.0,R,502.0,R,55.0,R,1709.0,R,0.0,R,0.0,R,1709.0,R,497.0,R,29.0,R,14.0,2020
223898,R,327.0,R,1328.0,R,25.0,R,398.0,R,0.0,R,0.0,R,398.0,R,201.0,R,51.0,R,804.0,R,0.0,R,0.0,R,804.0,R,337.0,R,42.0,R,21.0,2020
