UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,EFYGUKN
222567,44,-2,1,R,545,R,272,R,273,R,4,R,1,R,3,R,15,R,7,R,8,R,87,R,54,R,33,R,202,R,92,R,110,Z,0,Z,0,Z,0,R,222,R,109,R,113,Z,0,Z,0,Z,0,R,8,R,5,R,3,R,7,R,4,R,3,2020,,,,,,,,,
222567,45,-2,1,R,2971,R,1203,R,1768,R,26,R,17,R,9,R,136,R,57,R,79,R,416,R,185,R,231,R,980,R,391,R,589,R,5,R,4,R,1,R,1350,R,529,R,821,Z,0,Z,0,Z,0,R,25,R,13,R,12,R,33,R,7,R,26,2020,,,,,,,,,
222567,51,-2,1,R,2668,R,1229,R,1439,R,27,R,10,R,17,R,305,R,138,R,167,R,473,R,172,R,301,R,932,R,437,R,495,R,5,R,3,R,2,R,836,R,416,R,420,Z,0,Z,0,Z,0,R,52,R,36,R,16,R,38,R,17,R,21,2020,,,,,,,,,
222567,59,-2,1,R,1453,R,552,R,901,R,14,R,9,R,5,R,78,R,31,R,47,R,250,R,96,R,154,R,399,R,144,R,255,R,4,R,3,R,1,R,682,R,263,R,419,Z,0,Z,0,Z,0,R,10,R,4,R,6,R,16,R,2,R,14,2020,,,,,,,,,
222567,60,-2,1,R,1518,R,651,R,867,R,12,R,8,R,4,R,58,R,26,R,32,R,166,R,89,R,77,R,581,R,247,R,334,R,1,R,1,Z,0,R,668,R,266,R,402,Z,0,Z,0,Z,0,R,15,R,9,R,6,R,17,R,5,R,12,2020,,,,,,,,,
222576,1,1,999,R,12389,R,4374,R,8015,R,93,R,40,R,53,R,405,R,143,R,262,R,675,R,224,R,451,R,5241,R,1763,R,3478,R,9,R,5,R,4,R,5491,R,2013,R,3478,R,323,R,132,R,191,R,152,R,54,R,98,R,0,R,0,R,0,2020,,,,,,,,,
222576,2,2,1,R,12389,R,4374,R,8015,R,93,R,40,R,53,R,405,R,143,R,262,R,675,R,224,R,451,R,5241,R,1763,R,3478,R,9,R,5,R,4,R,5491,R,2013,R,3478,R,323,R,132,R,191,R,152,R,54,R,98,R,0,R,0,R,0,2020,,,,,,,,,
222576,3,-2,1,R,9629,R,3276,R,6353,R,63,R,24,R,39,R,288,R,99,R,189,R,611,R,201,R,410,R,4352,R,1446,R,2906,R,7,R,3,R,4,R,3957,R,1375,R,2582,R,230,R,87,R,143,R,121,R,41,R,80,R,0,R,0,R,0,2020,,,,,,,,,
222576,4,-2,1,R,2236,R,899,R,1337,R,21,R,8,R,13,R,65,R,18,R,47,R,122,R,48,R,74,R,1082,R,448,R,634,R,2,R,1,R,1,R,843,R,336,R,507,R,65,R,28,R,37,R,36,R,12,R,24,R,0,R,0,R,0,2020,,,,,,,,,
222576,5,-2,1,R,7393,R,2377,R,5016,R,42,R,16,R,26,R,223,R,81,R,142,R,489,R,153,R,336,R,3270,R,998,R,2272,R,5,R,2,R,3,R,3114,R,1039,R,2075,R,165,R,59,R,106,R,85,R,29,R,56,R,0,R,0,R,0,2020,,,,,,,,,
222576,11,-2,1,R,2760,R,1098,R,1662,R,30,R,16,R,14,R,117,R,44,R,73,R,64,R,23,R,41,R,889,R,317,R,572,R,2,R,2,R,0,R,1534,R,638,R,896,R,93,R,45,R,48,R,31,R,13,R,18,R,0,R,0,R,0,2020,,,,,,,,,
222576,19,-2,1,R,201,R,79,R,122,R,4,R,4,R,0,R,5,R,3,R,2,R,13,R,2,R,11,R,68,R,21,R,47,R,0,R,0,R,0,R,101,R,47,R,54,R,7,R,1,R,6,R,3,R,1,R,2,R,0,R,0,R,0,2020,,,,,,,,,
222576,20,-2,1,R,7192,R,2298,R,4894,R,38,R,12,R,26,R,218,R,78,R,140,R,476,R,151,R,325,R,3202,R,977,R,2225,R,5,R,2,R,3,R,3013,R,992,R,2021,R,158,R,58,R,100,R,82,R,28,R,54,R,0,R,0,R,0,2020,,,,,,,,,
222576,22,-2,1,R,4293,R,1586,R,2707,R,23,R,9,R,14,R,132,R,49,R,83,R,236,R,90,R,146,R,1930,R,703,R,1227,R,4,R,3,R,1,R,1804,R,668,R,1136,R,113,R,46,R,67,R,51,R,18,R,33,R,0,R,0,R,0,2020,,,,,,,,,
222576,23,-2,1,R,4165,R,1538,R,2627,R,22,R,9,R,13,R,127,R,47,R,80,R,236,R,90,R,146,R,1910,R,697,R,1213,R,4,R,3,R,1,R,1709,R,630,R,1079,R,107,R,44,R,63,R,50,R,18,R,32,R,0,R,0,R,0,2020,,,,,,,,,
222576,24,-2,1,R,1340,R,543,R,797,R,13,R,5,R,8,R,39,R,10,R,29,R,60,R,23,R,37,R,658,R,277,R,381,R,2,R,1,R,1,R,512,R,206,R,306,R,36,R,14,R,22,R,20,R,7,R,13,R,0,R,0,R,0,2020,,,,,,,,,
222576,25,-2,1,R,2825,R,995,R,1830,R,9,R,4,R,5,R,88,R,37,R,51,R,176,R,67,R,109,R,1252,R,420,R,832,R,2,R,2,R,0,R,1197,R,424,R,773,R,71,R,30,R,41,R,30,R,11,R,19,R,0,R,0,R,0,2020,,,,,,,,,
222576,31,-2,1,R,128,R,48,R,80,R,1,R,0,R,1,R,5,R,2,R,3,R,0,R,0,R,0,R,20,R,6,R,14,R,0,R,0,R,0,R,95,R,38,R,57,R,6,R,2,R,4,R,1,R,0,R,1,R,0,R,0,R,0,2020,,,,,,,,,
222576,39,-2,1,R,44,R,19,R,25,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,18,R,5,R,13,R,0,R,0,R,0,R,22,R,14,R,8,R,3,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,0,2020,,,,,,,,,
222576,40,-2,1,R,2781,R,976,R,1805,R,9,R,4,R,5,R,88,R,37,R,51,R,175,R,67,R,108,R,1234,R,415,R,819,R,2,R,2,R,0,R,1175,R,410,R,765,R,68,R,30,R,38,R,30,R,11,R,19,R,0,R,0,R,0,2020,,,,,,,,,
222576,42,-2,1,R,8096,R,2788,R,5308,R,70,R,31,R,39,R,273,R,94,R,179,R,439,R,134,R,305,R,3311,R,1060,R,2251,R,5,R,2,R,3,R,3687,R,1345,R,2342,R,210,R,86,R,124,R,101,R,36,R,65,R,0,R,0,R,0,2020,,,,,,,,,
222576,43,-2,1,R,5464,R,1738,R,3726,R,41,R,15,R,26,R,161,R,52,R,109,R,375,R,111,R,264,R,2442,R,749,R,1693,R,3,R,0,R,3,R,2248,R,745,R,1503,R,123,R,43,R,80,R,71,R,23,R,48,R,0,R,0,R,0,2020,,,,,,,,,
222576,44,-2,1,R,896,R,356,R,540,R,8,R,3,R,5,R,26,R,8,R,18,R,62,R,25,R,37,R,424,R,171,R,253,R,0,R,0,R,0,R,331,R,130,R,201,R,29,R,14,R,15,R,16,R,5,R,11,R,0,R,0,R,0,2020,,,,,,,,,
