UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW ,YEAR
222567,29,12,4,4,50 ,R,441,R,236.0,R,205.0,R,2.0,R,1.0,R,1.0,R,13.0,R,6.0,R,7.0,R,35.0,R,28.0,R,7.0,R,186.0,R,85.0,R,101.0,R,0.0,R,0.0,R,0.0,R,181.0,R,103.0,R,78.0,R,10.0,R,2.0,R,8.0,R,5.0,R,4.0,R,1.0,R,9.0,R,7.0,R,2.0,2022
222567,30,13,4,4,29A,R,130,R,62.0,R,68.0,R,0.0,R,0.0,R,0.0,R,5.0,R,3.0,R,2.0,R,9.0,R,6.0,R,3.0,R,58.0,R,21.0,R,37.0,R,0.0,R,0.0,R,0.0,R,52.0,R,29.0,R,23.0,R,2.0,R,0.0,R,2.0,R,3.0,R,2.0,R,1.0,R,1.0,R,1.0,R,0.0,2022
222567,31,14,4,4,11A,R,22,R,17.0,R,5.0,R,0.0,R,0.0,R,0.0,R,2.0,R,1.0,R,1.0,R,2.0,R,2.0,R,0.0,R,6.0,R,4.0,R,2.0,R,0.0,R,0.0,R,0.0,R,10.0,R,9.0,R,1.0,R,1.0,R,0.0,R,1.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,2022
222567,32,15,4,4,12A,R,108,R,45.0,R,63.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,R,7.0,R,4.0,R,3.0,R,52.0,R,17.0,R,35.0,R,0.0,R,0.0,R,0.0,R,42.0,R,20.0,R,22.0,R,1.0,R,0.0,R,1.0,R,2.0,R,1.0,R,1.0,R,1.0,R,1.0,R,0.0,2022
222567,33,20,4,4,30 ,R,80,R,45.0,R,35.0,R,2.0,R,1.0,R,1.0,R,2.0,R,2.0,R,0.0,R,9.0,R,7.0,R,2.0,R,26.0,R,14.0,R,12.0,R,0.0,R,0.0,R,0.0,R,37.0,R,19.0,R,18.0,R,3.0,R,1.0,R,2.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2022
222567,35,22,4,4,57 ,R,87,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2022
222567,36,23,4,4,55 ,R,20,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2022
222567,37,24,4,4,56 ,R,67,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2022
222567,47,31,4,4,22 ,R,51,R,21.0,R,30.0,R,0.0,R,0.0,R,0.0,R,3.0,R,1.0,R,2.0,R,2.0,R,1.0,R,1.0,R,27.0,R,14.0,R,13.0,R,0.0,R,0.0,R,0.0,R,18.0,R,5.0,R,13.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2022
222567,48,32,4,4,23 ,R,180,R,108.0,R,72.0,R,0.0,R,0.0,R,0.0,R,3.0,R,0.0,R,3.0,R,15.0,R,14.0,R,1.0,R,75.0,R,36.0,R,39.0,R,0.0,R,0.0,R,0.0,R,74.0,R,50.0,R,24.0,R,4.0,R,1.0,R,3.0,R,2.0,R,2.0,R,0.0,R,7.0,R,5.0,R,2.0,2022
