UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN,YEAR
222567,1,1,999,R,7563,R,3157,R,4406,R,53,R,18,R,35,R,705,R,294,R,411,R,1392,R,548,R,844,R,2824,R,1125,R,1699,R,13,R,6,R,7,R,2346,R,1056,R,1290,R,0,R,0,R,0,R,168,R,91,R,77,R,62,R,19,R,43,R,0.0,A,,R,0.0,R,7563.0,2024
222567,2,2,1,R,7563,R,3157,R,4406,R,53,R,18,R,35,R,705,R,294,R,411,R,1392,R,548,R,844,R,2824,R,1125,R,1699,R,13,R,6,R,7,R,2346,R,1056,R,1290,R,0,R,0,R,0,R,168,R,91,R,77,R,62,R,19,R,43,R,0.0,A,,R,0.0,R,7563.0,2024
222567,3,-2,1,R,4789,R,2074,R,2715,R,38,R,15,R,23,R,316,R,131,R,185,R,839,R,369,R,470,R,1841,R,740,R,1101,R,12,R,6,R,6,R,1601,R,743,R,858,R,0,R,0,R,0,R,95,R,56,R,39,R,47,R,14,R,33,A,,A,,A,,A,,2024
222567,4,-2,1,R,945,R,462,R,483,R,9,R,7,R,2,R,63,R,28,R,35,R,145,R,80,R,65,R,413,R,191,R,222,R,4,R,2,R,2,R,279,R,141,R,138,R,0,R,0,R,0,R,21,R,9,R,12,R,11,R,4,R,7,A,,A,,A,,A,,2024
222567,5,-2,1,R,3844,R,1612,R,2232,R,29,R,8,R,21,R,253,R,103,R,150,R,694,R,289,R,405,R,1428,R,549,R,879,R,8,R,4,R,4,R,1322,R,602,R,720,R,0,R,0,R,0,R,74,R,47,R,27,R,36,R,10,R,26,A,,A,,A,,A,,2024
222567,11,-2,1,R,2774,R,1083,R,1691,R,15,R,3,R,12,R,389,R,163,R,226,R,553,R,179,R,374,R,983,R,385,R,598,R,1,R,0,R,1,R,745,R,313,R,432,R,0,R,0,R,0,R,73,R,35,R,38,R,15,R,5,R,10,A,,A,,A,,A,,2024
222567,19,-2,1,R,1640,R,584,R,1056,R,15,R,4,R,11,R,109,R,43,R,66,R,386,R,132,R,254,R,461,R,139,R,322,R,5,R,3,R,2,R,606,R,245,R,361,R,0,R,0,R,0,R,34,R,13,R,21,R,24,R,5,R,19,A,,A,,A,,A,,2024
222567,20,-2,1,R,2204,R,1028,R,1176,R,14,R,4,R,10,R,144,R,60,R,84,R,308,R,157,R,151,R,967,R,410,R,557,R,3,R,1,R,2,R,716,R,357,R,359,R,0,R,0,R,0,R,40,R,34,R,6,R,12,R,5,R,7,A,,A,,A,,A,,2024
222567,21,-2,999,R,1336,R,621,R,715,R,7,R,6,R,1,R,91,R,42,R,49,R,193,R,85,R,108,R,531,R,229,R,302,R,4,R,3,R,1,R,461,R,235,R,226,R,0,R,0,R,0,R,26,R,15,R,11,R,23,R,6,R,17,A,,A,,A,,A,,2024
222567,22,-2,1,R,1336,R,621,R,715,R,7,R,6,R,1,R,91,R,42,R,49,R,193,R,85,R,108,R,531,R,229,R,302,R,4,R,3,R,1,R,461,R,235,R,226,R,0,R,0,R,0,R,26,R,15,R,11,R,23,R,6,R,17,A,,A,,A,,A,,2024
