UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
222567,R,201.0,R,1632.0,R,12.0,R,327.0,Z,0.0,Z,0.0,R,327.0,R,203.0,R,62.0,R,215.0,Z,0.0,Z,0.0,R,215.0,R,101.0,R,47.0,R,11.0,2021
222576,R,971.0,R,2744.0,R,35.0,R,933.0,R,0.0,R,0.0,R,933.0,R,625.0,R,67.0,R,289.0,R,0.0,R,0.0,R,289.0,R,119.0,R,41.0,R,18.0,2021
222822,R,478.0,R,1411.0,R,34.0,R,293.0,R,0.0,R,0.0,R,293.0,R,171.0,R,58.0,R,252.0,R,0.0,R,0.0,R,252.0,R,78.0,R,31.0,R,15.0,2021
222831,R,1270.0,R,3941.0,R,32.0,R,1258.0,R,1.0,Z,0.0,R,1257.0,R,863.0,R,69.0,R,21.0,R,0.0,Z,0.0,R,21.0,R,6.0,R,29.0,R,19.0,2021
222992,R,2015.0,R,7872.0,R,26.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,18.0,2021
223320,R,163.0,R,1668.0,R,10.0,R,250.0,R,0.0,R,0.0,R,250.0,R,137.0,R,55.0,R,95.0,R,0.0,R,0.0,R,95.0,R,41.0,R,43.0,R,26.0,2021
223427,R,3076.0,R,7514.0,R,41.0,R,3141.0,Z,0.0,Z,0.0,R,3141.0,R,1694.0,R,54.0,R,1453.0,Z,0.0,Z,0.0,R,1453.0,R,633.0,R,44.0,R,26.0,2021
223506,R,246.0,R,1345.0,R,18.0,Z,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,Z,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,12.0,2021
223816,R,332.0,R,2164.0,R,15.0,R,364.0,R,2.0,R,0.0,R,362.0,R,190.0,R,52.0,R,760.0,R,0.0,R,0.0,R,760.0,R,303.0,R,40.0,R,13.0,2021
223898,R,301.0,R,1272.0,R,24.0,R,327.0,R,0.0,R,0.0,R,327.0,R,187.0,R,57.0,R,725.0,R,0.0,R,0.0,R,725.0,R,412.0,R,57.0,R,17.0,2021
223922,R,309.0,R,938.0,R,33.0,R,309.0,R,0.0,R,0.0,R,309.0,R,162.0,R,52.0,R,619.0,R,0.0,R,0.0,R,619.0,R,327.0,R,53.0,R,19.0,2021
224110,R,564.0,R,3672.0,R,15.0,R,520.0,R,0.0,R,0.0,R,520.0,R,345.0,R,66.0,R,609.0,R,0.0,R,0.0,R,609.0,R,325.0,R,53.0,R,17.0,2021
224147,R,1716.0,R,2615.0,R,66.0,R,1395.0,R,0.0,R,0.0,R,1395.0,R,773.0,R,55.0,R,160.0,R,0.0,R,0.0,R,160.0,R,72.0,R,45.0,R,17.0,2021
224350,R,295.0,R,1145.0,R,26.0,R,234.0,R,0.0,R,0.0,R,234.0,R,125.0,R,53.0,R,488.0,R,0.0,R,0.0,R,488.0,R,245.0,R,50.0,R,11.0,2021
224545,R,225.0,R,558.0,R,40.0,R,274.0,Z,0.0,Z,0.0,R,274.0,R,138.0,R,50.0,R,12.0,R,0.0,R,0.0,R,12.0,R,5.0,R,42.0,R,14.0,2021
224554,R,772.0,R,1969.0,R,39.0,R,664.0,R,0.0,R,0.0,R,664.0,R,397.0,R,60.0,R,48.0,R,0.0,R,0.0,R,48.0,R,20.0,R,42.0,R,18.0,2021
224615,R,2381.0,R,17294.0,R,14.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,25.0,2021
224642,R,2309.0,R,4843.0,R,48.0,R,2138.0,R,0.0,R,0.0,R,2138.0,R,1290.0,R,60.0,R,1018.0,R,0.0,R,0.0,R,1018.0,R,483.0,R,47.0,R,24.0,2021
