UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,YEAR
228547,59,-2,1,R,4785,R,1707,R,3078,R,12,R,2,R,10,R,461,R,196,R,265,R,752,R,215,R,537,R,1011,R,369,R,642,R,6,R,3,R,3,R,1943,R,679,R,1264,R,215,R,74,R,141,R,355,R,153,R,202,R,30,R,16,R,14,2021
228547,60,-2,1,R,35160,R,12964,R,22196,R,122,R,49,R,73,R,2316,R,990,R,1326,R,6893,R,2256,R,4637,R,11903,R,4112,R,7791,R,51,R,21,R,30,R,11958,R,4762,R,7196,R,1056,R,410,R,646,R,672,R,284,R,388,R,189,R,80,R,109,2021
228608,1,1,999,R,7619,R,2786,R,4833,R,22,R,5,R,17,R,167,R,66,R,101,R,1144,R,326,R,818,R,2300,R,842,R,1458,R,29,R,3,R,26,R,3481,R,1362,R,2119,R,243,R,87,R,156,R,231,R,95,R,136,R,2,R,0,R,2,2021
228608,2,2,1,R,7619,R,2786,R,4833,R,22,R,5,R,17,R,167,R,66,R,101,R,1144,R,326,R,818,R,2300,R,842,R,1458,R,29,R,3,R,26,R,3481,R,1362,R,2119,R,243,R,87,R,156,R,231,R,95,R,136,R,2,R,0,R,2,2021
228608,3,-2,1,R,7580,R,2776,R,4804,R,21,R,5,R,16,R,167,R,66,R,101,R,1142,R,326,R,816,R,2286,R,836,R,1450,R,27,R,3,R,24,R,3464,R,1360,R,2104,R,241,R,86,R,155,R,230,R,94,R,136,R,2,R,0,R,2,2021
228608,4,-2,1,R,1476,R,887,R,589,R,3,R,3,R,0,R,31,R,18,R,13,R,167,R,87,R,80,R,470,R,267,R,203,R,5,R,1,R,4,R,687,R,438,R,249,R,63,R,35,R,28,R,50,R,38,R,12,R,0,R,0,R,0,2021
228608,5,-2,1,R,6104,R,1889,R,4215,R,18,R,2,R,16,R,136,R,48,R,88,R,975,R,239,R,736,R,1816,R,569,R,1247,R,22,R,2,R,20,R,2777,R,922,R,1855,R,178,R,51,R,127,R,180,R,56,R,124,R,2,R,0,R,2,2021
228608,11,-2,1,R,39,R,10,R,29,R,1,R,0,R,1,R,0,R,0,R,0,R,2,R,0,R,2,R,14,R,6,R,8,R,2,R,0,R,2,R,17,R,2,R,15,R,2,R,1,R,1,R,1,R,1,R,0,R,0,R,0,R,0,2021
228608,19,-2,1,R,2265,R,534,R,1731,R,8,R,0,R,8,R,62,R,20,R,42,R,514,R,104,R,410,R,548,R,146,R,402,R,16,R,0,R,16,R,960,R,228,R,732,R,72,R,21,R,51,R,83,R,15,R,68,R,2,R,0,R,2,2021
228608,20,-2,1,R,3839,R,1355,R,2484,R,10,R,2,R,8,R,74,R,28,R,46,R,461,R,135,R,326,R,1268,R,423,R,845,R,6,R,2,R,4,R,1817,R,694,R,1123,R,106,R,30,R,76,R,97,R,41,R,56,R,0,R,0,R,0,2021
228608,22,-2,1,R,2740,R,941,R,1799,R,9,R,2,R,7,R,65,R,27,R,38,R,434,R,120,R,314,R,849,R,290,R,559,R,13,R,0,R,13,R,1194,R,440,R,754,R,91,R,31,R,60,R,84,R,31,R,53,R,1,R,0,R,1,2021
228608,23,-2,1,R,2737,R,940,R,1797,R,9,R,2,R,7,R,65,R,27,R,38,R,434,R,120,R,314,R,848,R,290,R,558,R,13,R,0,R,13,R,1192,R,439,R,753,R,91,R,31,R,60,R,84,R,31,R,53,R,1,R,0,R,1,2021
228608,24,-2,1,R,874,R,285,R,589,R,1,R,1,R,0,R,20,R,7,R,13,R,108,R,28,R,80,R,289,R,86,R,203,R,4,R,0,R,4,R,388,R,139,R,249,R,39,R,11,R,28,R,25,R,13,R,12,R,0,R,0,R,0,2021
228608,25,-2,1,R,1863,R,655,R,1208,R,8,R,1,R,7,R,45,R,20,R,25,R,326,R,92,R,234,R,559,R,204,R,355,R,9,R,0,R,9,R,804,R,300,R,504,R,52,R,20,R,32,R,59,R,18,R,41,R,1,R,0,R,1,2021
228608,31,-2,1,R,3,R,1,R,2,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,2021
228608,39,-2,1,R,870,R,220,R,650,R,3,R,0,R,3,R,23,R,9,R,14,R,193,R,43,R,150,R,208,R,60,R,148,R,8,R,0,R,8,R,373,R,91,R,282,R,30,R,11,R,19,R,31,R,6,R,25,R,1,R,0,R,1,2021
228608,40,-2,1,R,993,R,435,R,558,R,5,R,1,R,4,R,22,R,11,R,11,R,133,R,49,R,84,R,351,R,144,R,207,R,1,R,0,R,1,R,431,R,209,R,222,R,22,R,9,R,13,R,28,R,12,R,16,R,0,R,0,R,0,2021
228608,42,-2,1,R,4879,R,1845,R,3034,R,13,R,3,R,10,R,102,R,39,R,63,R,710,R,206,R,504,R,1451,R,552,R,899,R,16,R,3,R,13,R,2287,R,922,R,1365,R,152,R,56,R,96,R,147,R,64,R,83,R,1,R,0,R,1,2021
