UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW,YEAR
223427,37,24,4,4,56,R,113,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2024
223427,47,31,4,4,22,R,293,R,132.0,R,161.0,R,1.0,R,1.0,R,0.0,R,13.0,R,8.0,R,5.0,R,11.0,R,5.0,R,6.0,R,81.0,R,35.0,R,46.0,R,0.0,R,0.0,R,0.0,R,173.0,R,79.0,R,94.0,R,8.0,R,2.0,R,6.0,R,3.0,R,1.0,R,2.0,R,3.0,R,1.0,R,2.0,2024
223427,48,32,4,4,23,R,1445,R,829.0,R,616.0,R,9.0,R,7.0,R,2.0,R,24.0,R,19.0,R,5.0,R,237.0,R,166.0,R,71.0,R,327.0,R,171.0,R,156.0,R,1.0,R,1.0,R,0.0,R,738.0,R,401.0,R,337.0,R,67.0,R,41.0,R,26.0,R,19.0,R,7.0,R,12.0,R,23.0,R,16.0,R,7.0,2024
223506,1,10,1,1,999,R,258,R,113.0,R,145.0,Z,0.0,Z,0.0,Z,0.0,R,2.0,R,2.0,Z,0.0,R,19.0,R,8.0,R,11.0,R,98.0,R,43.0,R,55.0,Z,0.0,Z,0.0,Z,0.0,R,121.0,R,52.0,R,69.0,R,4.0,R,1.0,R,3.0,R,2.0,R,1.0,R,1.0,R,12.0,R,6.0,R,6.0,2024
223506,2,12,1,1,999,R,258,R,113.0,R,145.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,R,19.0,R,8.0,R,11.0,R,98.0,R,43.0,R,55.0,R,0.0,R,0.0,R,0.0,R,121.0,R,52.0,R,69.0,R,4.0,R,1.0,R,3.0,R,2.0,R,1.0,R,1.0,R,12.0,R,6.0,R,6.0,2024
223506,3,13,1,1,999,R,145,R,59.0,R,86.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,8.0,R,4.0,R,4.0,R,64.0,R,24.0,R,40.0,R,0.0,R,0.0,R,0.0,R,59.0,R,24.0,R,35.0,R,4.0,R,1.0,R,3.0,R,2.0,R,1.0,R,1.0,R,7.0,R,4.0,R,3.0,2024
223506,18,10,3,3,10,R,258,R,113.0,R,145.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,R,19.0,R,8.0,R,11.0,R,98.0,R,43.0,R,55.0,R,0.0,R,0.0,R,0.0,R,121.0,R,52.0,R,69.0,R,4.0,R,1.0,R,3.0,R,2.0,R,1.0,R,1.0,R,12.0,R,6.0,R,6.0,2024
223506,20,12,3,3,50,R,258,R,113.0,R,145.0,R,0.0,R,0.0,R,0.0,R,2.0,R,2.0,R,0.0,R,19.0,R,8.0,R,11.0,R,98.0,R,43.0,R,55.0,R,0.0,R,0.0,R,0.0,R,121.0,R,52.0,R,69.0,R,4.0,R,1.0,R,3.0,R,2.0,R,1.0,R,1.0,R,12.0,R,6.0,R,6.0,2024
223506,21,13,3,3,29A,R,145,R,59.0,R,86.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,R,8.0,R,4.0,R,4.0,R,64.0,R,24.0,R,40.0,R,0.0,R,0.0,R,0.0,R,59.0,R,24.0,R,35.0,R,4.0,R,1.0,R,3.0,R,2.0,R,1.0,R,1.0,R,7.0,R,4.0,R,3.0,2024
223506,22,14,3,3,11A,R,11,R,7.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,5.0,R,3.0,R,2.0,R,0.0,R,0.0,R,0.0,R,6.0,R,4.0,R,2.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2024
