UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW ,YEAR
226019,36,23,4,4,55 ,R,40,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226019,37,24,4,4,56 ,R,136,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2020
226019,47,31,4,4,22 ,R,66,R,28.0,R,38.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,8.0,R,2.0,R,6.0,R,13.0,R,8.0,R,5.0,Z,0.0,Z,0.0,Z,0.0,R,39.0,R,17.0,R,22.0,R,1.0,Z,0.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,R,5.0,R,1.0,R,4.0,2020
226019,48,32,4,4,23 ,R,325,R,182.0,R,143.0,R,2.0,R,1.0,R,1.0,R,1.0,R,0.0,R,1.0,R,94.0,R,64.0,R,30.0,R,62.0,R,32.0,R,30.0,R,1.0,R,0.0,R,1.0,R,134.0,R,66.0,R,68.0,R,8.0,R,6.0,R,2.0,R,11.0,R,6.0,R,5.0,R,12.0,R,7.0,R,5.0,2020
226091,2,12,1,1,999,R,1411,R,647.0,R,764.0,R,10.0,R,2.0,R,8.0,R,57.0,R,26.0,R,31.0,R,409.0,R,170.0,R,239.0,R,238.0,R,106.0,R,132.0,R,5.0,R,3.0,R,2.0,R,608.0,R,303.0,R,305.0,R,41.0,R,18.0,R,23.0,R,31.0,R,14.0,R,17.0,R,12.0,R,5.0,R,7.0,2020
226091,3,13,1,1,999,R,518,R,210.0,R,308.0,R,3.0,R,0.0,R,3.0,R,32.0,R,14.0,R,18.0,R,101.0,R,34.0,R,67.0,R,76.0,R,30.0,R,46.0,R,3.0,R,2.0,R,1.0,R,274.0,R,120.0,R,154.0,R,14.0,R,3.0,R,11.0,R,9.0,R,4.0,R,5.0,R,6.0,R,3.0,R,3.0,2020
226091,4,20,1,1,999,R,507,R,240.0,R,267.0,R,3.0,R,1.0,R,2.0,R,14.0,R,7.0,R,7.0,R,191.0,R,79.0,R,112.0,R,90.0,R,40.0,R,50.0,R,2.0,R,1.0,R,1.0,R,179.0,R,97.0,R,82.0,R,17.0,R,10.0,R,7.0,R,11.0,R,5.0,R,6.0,R,0.0,R,0.0,R,0.0,2020
226091,6,10,2,2,10 ,R,1411,R,647.0,R,764.0,R,10.0,R,2.0,R,8.0,R,57.0,R,26.0,R,31.0,R,409.0,R,170.0,R,239.0,R,238.0,R,106.0,R,132.0,R,5.0,R,3.0,R,2.0,R,608.0,R,303.0,R,305.0,R,41.0,R,18.0,R,23.0,R,31.0,R,14.0,R,17.0,R,12.0,R,5.0,R,7.0,2020
226091,8,12,2,2,50 ,R,1411,R,647.0,R,764.0,R,10.0,R,2.0,R,8.0,R,57.0,R,26.0,R,31.0,R,409.0,R,170.0,R,239.0,R,238.0,R,106.0,R,132.0,R,5.0,R,3.0,R,2.0,R,608.0,R,303.0,R,305.0,R,41.0,R,18.0,R,23.0,R,31.0,R,14.0,R,17.0,R,12.0,R,5.0,R,7.0,2020
226091,9,13,2,2,29A,R,518,R,210.0,R,308.0,R,3.0,R,0.0,R,3.0,R,32.0,R,14.0,R,18.0,R,101.0,R,34.0,R,67.0,R,76.0,R,30.0,R,46.0,R,3.0,R,2.0,R,1.0,R,274.0,R,120.0,R,154.0,R,14.0,R,3.0,R,11.0,R,9.0,R,4.0,R,5.0,R,6.0,R,3.0,R,3.0,2020
