UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR,YEAR
228644,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6.0,2023
228653,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,10.0,2023
228699,R,244.0,R,504.0,R,48.0,R,235.0,Z,0.0,Z,0.0,R,235.0,R,114.0,R,49.0,R,158.0,Z,0.0,Z,0.0,R,158.0,R,67.0,R,42.0,R,21.0,2023
228705,R,1173.0,R,1880.0,R,62.0,R,1066.0,R,0.0,Z,0.0,R,1066.0,R,714.0,R,67.0,R,33.0,R,0.0,Z,0.0,R,33.0,R,11.0,R,33.0,R,16.0,2023
228723,R,12055.0,R,17090.0,R,71.0,R,11382.0,Z,0.0,Z,0.0,R,11382.0,R,10728.0,R,94.0,R,1108.0,Z,0.0,Z,0.0,R,1108.0,R,1030.0,R,93.0,R,19.0,2023
228769,R,4706.0,R,9339.0,R,50.0,R,4310.0,R,0.0,R,0.0,R,4310.0,R,3141.0,R,73.0,R,548.0,R,0.0,R,0.0,R,548.0,R,117.0,R,21.0,R,23.0,2023
228778,R,9230.0,R,11492.0,R,80.0,R,8979.0,R,0.0,R,0.0,R,8979.0,R,8631.0,R,96.0,R,130.0,R,0.0,R,0.0,R,130.0,R,112.0,R,86.0,R,18.0,2023
228787,R,4001.0,R,5815.0,R,69.0,R,3933.0,R,0.0,R,0.0,R,3933.0,R,3466.0,R,88.0,R,285.0,R,0.0,R,0.0,R,285.0,R,217.0,R,76.0,R,27.0,2023
228796,R,3125.0,R,5519.0,R,57.0,R,2971.0,R,0.0,R,0.0,R,2971.0,R,2298.0,R,77.0,R,811.0,R,0.0,R,0.0,R,811.0,R,521.0,R,64.0,R,20.0,2023
228802,R,1098.0,R,2411.0,R,46.0,R,975.0,Z,0.0,Z,0.0,R,975.0,R,712.0,R,73.0,R,143.0,Z,0.0,Z,0.0,R,143.0,R,36.0,R,25.0,R,17.0,2023
228909,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,6.0,2023
229018,R,633.0,R,1649.0,R,38.0,R,634.0,R,0.0,R,0.0,R,634.0,R,389.0,R,61.0,R,39.0,R,0.0,R,0.0,R,39.0,R,15.0,R,38.0,R,20.0,2023
229027,R,4872.0,R,9059.0,R,54.0,R,4617.0,R,1.0,Z,0.0,R,4616.0,R,3665.0,R,79.0,R,1075.0,R,0.0,Z,0.0,R,1075.0,R,426.0,R,40.0,R,25.0,2023
229063,R,1536.0,R,2121.0,R,72.0,R,2139.0,R,0.0,R,0.0,R,2139.0,R,1219.0,R,57.0,R,233.0,R,0.0,R,0.0,R,233.0,R,37.0,R,16.0,R,16.0,2023
229115,R,7120.0,R,9579.0,R,74.0,R,6691.0,R,2.0,Z,0.0,R,6689.0,R,5677.0,R,85.0,R,122.0,Z,0.0,Z,0.0,R,122.0,R,64.0,R,52.0,R,21.0,2023
229179,R,1445.0,R,3617.0,R,40.0,R,1319.0,R,0.0,R,0.0,R,1319.0,R,971.0,R,74.0,R,22.0,R,0.0,R,0.0,R,22.0,R,11.0,R,50.0,R,17.0,2023
229300,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,5.0,2023
229337,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,7.0,2023
229355,R,2180.0,R,4881.0,R,45.0,R,2051.0,R,0.0,R,0.0,R,2051.0,R,1250.0,R,61.0,R,727.0,R,0.0,R,0.0,R,727.0,R,305.0,R,42.0,R,18.0,2023
229504,R,237.0,R,434.0,R,55.0,R,161.0,Z,0.0,Z,0.0,R,161.0,R,60.0,R,37.0,R,137.0,Z,0.0,Z,0.0,R,137.0,R,61.0,R,45.0,R,12.0,2023
229540,R,309.0,R,1217.0,R,25.0,R,290.0,Z,0.0,Z,0.0,R,290.0,R,189.0,R,65.0,R,227.0,Z,0.0,Z,0.0,R,227.0,R,124.0,R,55.0,R,14.0,2023
229799,R,361.0,R,1123.0,R,32.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15.0,2023
229814,R,1243.0,R,2162.0,R,57.0,R,1254.0,R,0.0,R,0.0,R,1254.0,R,842.0,R,67.0,R,24.0,R,0.0,R,0.0,R,24.0,R,11.0,R,46.0,R,18.0,2023
229832,R,167.0,R,534.0,R,31.0,R,157.0,R,0.0,R,0.0,R,157.0,R,106.0,R,68.0,R,71.0,R,0.0,R,0.0,R,71.0,R,44.0,R,62.0,R,19.0,2023
229841,R,918.0,R,2202.0,R,42.0,R,1064.0,Z,0.0,Z,0.0,R,1064.0,R,786.0,R,74.0,R,327.0,Z,0.0,Z,0.0,R,327.0,R,175.0,R,54.0,R,17.0,2023
246354,R,919.0,R,3089.0,R,30.0,R,817.0,R,0.0,R,0.0,R,817.0,R,463.0,R,57.0,R,1325.0,R,0.0,R,0.0,R,1325.0,R,322.0,R,24.0,R,30.0,2023
247834,R,3607.0,R,14774.0,R,24.0,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,0.0,Z,0.0,Z,0.0,R,0.0,Z,0.0,A,,R,21.0,2023
382911,R,15.0,R,21.0,R,71.0,R,12.0,R,0.0,R,0.0,R,12.0,R,8.0,R,67.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,7.0,2023
409315,R,2450.0,R,7078.0,R,35.0,R,36.0,R,0.0,R,0.0,R,36.0,R,22.0,R,61.0,R,48.0,Z,0.0,Z,0.0,R,48.0,R,24.0,R,50.0,R,22.0,2023
416801,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,9.0,2023
420398,R,1663.0,R,4994.0,R,33.0,R,1544.0,R,0.0,R,0.0,R,1544.0,R,1004.0,R,65.0,R,1648.0,Z,0.0,Z,0.0,R,1648.0,R,721.0,R,44.0,R,22.0,2023
441760,R,472.0,R,1007.0,R,47.0,R,422.0,R,1.0,Z,0.0,R,421.0,R,203.0,R,48.0,R,287.0,Z,0.0,Z,0.0,R,287.0,R,136.0,R,47.0,R,21.0,2023
459949,R,974.0,R,2144.0,R,45.0,R,980.0,R,0.0,R,0.0,R,980.0,R,619.0,R,63.0,R,48.0,R,0.0,R,0.0,R,48.0,R,16.0,R,33.0,R,19.0,2023
483036,R,5.0,R,442.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,15.0,2023
484905,R,416.0,R,941.0,R,44.0,R,284.0,R,0.0,R,0.0,R,284.0,R,200.0,R,70.0,R,62.0,R,0.0,R,0.0,R,62.0,R,29.0,R,47.0,R,17.0,2023
487320,R,2016.0,R,4460.0,R,45.0,R,1703.0,R,4.0,R,0.0,R,1699.0,R,807.0,R,47.0,R,594.0,R,0.0,R,0.0,R,594.0,R,208.0,R,35.0,R,13.0,2023
488730,R,757.0,R,2205.0,R,34.0,R,743.0,R,0.0,R,0.0,R,743.0,R,453.0,R,61.0,R,819.0,R,0.0,R,0.0,R,819.0,R,300.0,R,37.0,R,20.0,2023
492689,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,9.0,2023
