UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN,YEAR
222567,42,-2,1,R,5967,R,2470,R,3497,R,44,R,16,R,28,R,579,R,263,R,316,R,1005,R,406,R,599,R,2244,R,861,R,1383,R,4,R,3,R,1,R,1925,R,827,R,1098,Z,0,Z,0,Z,0,R,130,R,81,R,49,R,36,R,13,R,23,A,,A,,A,,A,,2023
222567,43,-2,1,R,3543,R,1481,R,2062,R,30,R,9,R,21,R,222,R,93,R,129,R,583,R,261,R,322,R,1388,R,535,R,853,R,1,R,1,Z,0,R,1234,R,531,R,703,Z,0,Z,0,Z,0,R,61,R,42,R,19,R,24,R,9,R,15,A,,A,,A,,A,,2023
222567,44,-2,1,R,656,R,354,R,302,R,5,R,2,R,3,R,30,R,12,R,18,R,112,R,63,R,49,R,287,R,151,R,136,Z,0,Z,0,Z,0,R,202,R,111,R,91,Z,0,Z,0,Z,0,R,16,R,14,R,2,R,4,R,1,R,3,A,,A,,A,,A,,2023
222567,45,-2,1,R,2887,R,1127,R,1760,R,25,R,7,R,18,R,192,R,81,R,111,R,471,R,198,R,273,R,1101,R,384,R,717,R,1,R,1,Z,0,R,1032,R,420,R,612,Z,0,Z,0,Z,0,R,45,R,28,R,17,R,20,R,8,R,12,A,,A,,A,,A,,2023
222567,51,-2,1,R,2424,R,989,R,1435,R,14,R,7,R,7,R,357,R,170,R,187,R,422,R,145,R,277,R,856,R,326,R,530,R,3,R,2,R,1,R,691,R,296,R,395,Z,0,Z,0,Z,0,R,69,R,39,R,30,R,12,R,4,R,8,A,,A,,A,,A,,2023
222567,59,-2,1,R,1413,R,489,R,924,R,11,R,2,R,9,R,107,R,44,R,63,R,297,R,104,R,193,R,433,R,124,R,309,Z,0,Z,0,Z,0,R,530,R,198,R,332,Z,0,Z,0,Z,0,R,26,R,14,R,12,R,9,R,3,R,6,A,,A,,A,,A,,2023
222567,60,-2,1,R,1474,R,638,R,836,R,14,R,5,R,9,R,85,R,37,R,48,R,174,R,94,R,80,R,668,R,260,R,408,R,1,R,1,Z,0,R,502,R,222,R,280,Z,0,Z,0,Z,0,R,19,R,14,R,5,R,11,R,5,R,6,A,,A,,A,,A,,2023
222576,1,1,999,R,11564,R,4115,R,7449,R,83,R,31,R,52,R,335,R,127,R,208,R,729,R,271,R,458,R,5207,R,1764,R,3443,R,9,R,3,R,6,R,4591,R,1681,R,2910,R,332,R,117,R,215,R,278,R,121,R,157,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,11564.0,2023
222576,2,2,1,R,11564,R,4115,R,7449,R,83,R,31,R,52,R,335,R,127,R,208,R,729,R,271,R,458,R,5207,R,1764,R,3443,R,9,R,3,R,6,R,4591,R,1681,R,2910,R,332,R,117,R,215,R,278,R,121,R,157,Z,0,Z,0,Z,0,R,0.0,A,,R,0.0,R,11564.0,2023
222576,3,-2,1,R,9327,R,3216,R,6111,R,62,R,21,R,41,R,249,R,89,R,160,R,671,R,253,R,418,R,4456,R,1463,R,2993,R,8,R,2,R,6,R,3459,R,1222,R,2237,R,268,R,91,R,177,R,154,R,75,R,79,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,4,-2,1,R,1729,R,762,R,967,R,9,R,2,R,7,R,43,R,16,R,27,R,108,R,50,R,58,R,849,R,353,R,496,Z,0,Z,0,Z,0,R,613,R,287,R,326,R,46,R,21,R,25,R,61,R,33,R,28,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,5,-2,1,R,7598,R,2454,R,5144,R,53,R,19,R,34,R,206,R,73,R,133,R,563,R,203,R,360,R,3607,R,1110,R,2497,R,8,R,2,R,6,R,2846,R,935,R,1911,R,222,R,70,R,152,R,93,R,42,R,51,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
222576,11,-2,1,R,2237,R,899,R,1338,R,21,R,10,R,11,R,86,R,38,R,48,R,58,R,18,R,40,R,751,R,301,R,450,R,1,R,1,Z,0,R,1132,R,459,R,673,R,64,R,26,R,38,R,124,R,46,R,78,Z,0,Z,0,Z,0,A,,A,,A,,A,,2023
