UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUKN,EFYGUKN,YEAR
229018,41,-2,999,R,3264,R,1296,R,1968,R,12,R,5,R,7,R,121,R,66,R,55,R,233,R,96,R,137,R,1476,R,531,R,945,R,4,R,2,R,2,R,1092,R,439,R,653,R,87,R,31,R,56,R,76,R,41,R,35,R,163,R,85,R,78,A,,A,,2025
229018,42,-2,1,R,1836,R,711,R,1125,R,6,R,0,R,6,R,55,R,24,R,31,R,115,R,45,R,70,R,989,R,381,R,608,R,1,R,1,R,0,R,543,R,208,R,335,R,47,R,15,R,32,R,35,R,19,R,16,R,45,R,18,R,27,A,,A,,2025
229018,43,-2,1,R,1359,R,524,R,835,R,5,R,0,R,5,R,23,R,11,R,12,R,94,R,38,R,56,R,742,R,283,R,459,R,1,R,1,R,0,R,397,R,153,R,244,R,35,R,10,R,25,R,19,R,10,R,9,R,43,R,18,R,25,A,,A,,2025
229018,44,-2,1,R,74,R,32,R,42,R,1,R,0,R,1,R,2,R,1,R,1,R,7,R,5,R,2,R,40,R,14,R,26,R,0,R,0,R,0,R,14,R,5,R,9,R,1,R,0,R,1,R,8,R,6,R,2,R,1,R,1,R,0,A,,A,,2025
229018,45,-2,1,R,1285,R,492,R,793,R,4,R,0,R,4,R,21,R,10,R,11,R,87,R,33,R,54,R,702,R,269,R,433,R,1,R,1,R,0,R,383,R,148,R,235,R,34,R,10,R,24,R,11,R,4,R,7,R,42,R,17,R,25,A,,A,,2025
229018,51,-2,1,R,477,R,187,R,290,R,1,R,0,R,1,R,32,R,13,R,19,R,21,R,7,R,14,R,247,R,98,R,149,R,0,R,0,R,0,R,146,R,55,R,91,R,12,R,5,R,7,R,16,R,9,R,7,R,2,R,0,R,2,A,,A,,2025
229018,52,-2,3,R,1428,R,585,R,843,R,6,R,5,R,1,R,66,R,42,R,24,R,118,R,51,R,67,R,487,R,150,R,337,R,3,R,1,R,2,R,549,R,231,R,318,R,40,R,16,R,24,R,41,R,22,R,19,R,118,R,67,R,51,A,,A,,2025
229018,59,-2,1,R,261,R,86,R,175,R,1,R,0,R,1,R,0,R,0,R,0,R,21,R,7,R,14,R,139,R,49,R,90,R,0,R,0,R,0,R,80,R,21,R,59,R,6,R,1,R,5,R,5,R,3,R,2,R,9,R,5,R,4,A,,A,,2025
229018,60,-2,1,R,1024,R,406,R,618,R,3,R,0,R,3,R,21,R,10,R,11,R,66,R,26,R,40,R,563,R,220,R,343,R,1,R,1,R,0,R,303,R,127,R,176,R,28,R,9,R,19,R,6,R,1,R,5,R,33,R,12,R,21,A,,A,,2025
229027,1,1,999,R,40542,R,19682,R,20860,R,47,R,31,R,16,R,2286,R,1121,R,1165,R,3194,R,1542,R,1652,R,24015,R,11088,R,12927,R,72,R,39,R,33,R,7808,R,4235,R,3573,R,1452,R,719,R,733,R,548,R,297,R,251,R,1120,R,610,R,510,R,0.0,R,40542.0,2025
229027,2,2,1,R,35219,R,17336,R,17883,R,40,R,27,R,13,R,2062,R,1007,R,1055,R,2879,R,1407,R,1472,R,21373,R,10075,R,11298,R,56,R,31,R,25,R,6566,R,3639,R,2927,R,1270,R,623,R,647,R,479,R,261,R,218,R,494,R,266,R,228,R,0.0,R,35219.0,2025
229027,3,-2,1,R,34342,R,16907,R,17435,R,37,R,25,R,12,R,2028,R,987,R,1041,R,2836,R,1379,R,1457,R,20855,R,9830,R,11025,R,53,R,30,R,23,R,6388,R,3552,R,2836,R,1237,R,608,R,629,R,424,R,233,R,191,R,484,R,263,R,221,A,,A,,2025
229027,4,-2,1,R,6603,R,3134,R,3469,R,10,R,6,R,4,R,608,R,289,R,319,R,582,R,268,R,314,R,3826,R,1744,R,2082,R,13,R,6,R,7,R,1121,R,590,R,531,R,239,R,111,R,128,R,74,R,46,R,28,R,130,R,74,R,56,A,,A,,2025
229027,5,-2,1,R,27739,R,13773,R,13966,R,27,R,19,R,8,R,1420,R,698,R,722,R,2254,R,1111,R,1143,R,17029,R,8086,R,8943,R,40,R,24,R,16,R,5267,R,2962,R,2305,R,998,R,497,R,501,R,350,R,187,R,163,R,354,R,189,R,165,A,,A,,2025
229027,11,-2,1,R,877,R,429,R,448,R,3,R,2,R,1,R,34,R,20,R,14,R,43,R,28,R,15,R,518,R,245,R,273,R,3,R,1,R,2,R,178,R,87,R,91,R,33,R,15,R,18,R,55,R,28,R,27,R,10,R,3,R,7,A,,A,,2025
229027,12,4,3,R,5323,R,2346,R,2977,R,7,R,4,R,3,R,224,R,114,R,110,R,315,R,135,R,180,R,2642,R,1013,R,1629,R,16,R,8,R,8,R,1242,R,596,R,646,R,182,R,96,R,86,R,69,R,36,R,33,R,626,R,344,R,282,R,0.0,R,5323.0,2025
229027,19,-2,1,R,4987,R,2563,R,2424,R,5,R,5,R,0,R,168,R,76,R,92,R,454,R,258,R,196,R,2983,R,1468,R,1515,R,7,R,4,R,3,R,1037,R,577,R,460,R,206,R,111,R,95,R,57,R,32,R,25,R,70,R,32,R,38,A,,A,,2025
229027,20,-2,1,R,22752,R,11210,R,11542,R,22,R,14,R,8,R,1252,R,622,R,630,R,1800,R,853,R,947,R,14046,R,6618,R,7428,R,33,R,20,R,13,R,4230,R,2385,R,1845,R,792,R,386,R,406,R,293,R,155,R,138,R,284,R,157,R,127,A,,A,,2025
229027,21,-2,999,R,27897,R,13378,R,14519,R,28,R,20,R,8,R,1547,R,753,R,794,R,2328,R,1100,R,1228,R,16461,R,7525,R,8936,R,46,R,28,R,18,R,5126,R,2739,R,2387,R,1028,R,486,R,542,R,344,R,182,R,162,R,989,R,545,R,444,A,,A,,2025
229027,22,-2,1,R,25315,R,12223,R,13092,R,26,R,18,R,8,R,1421,R,695,R,726,R,2178,R,1028,R,1150,R,15364,R,7111,R,8253,R,36,R,23,R,13,R,4595,R,2496,R,2099,R,931,R,441,R,490,R,315,R,169,R,146,R,449,R,242,R,207,A,,A,,2025
229027,23,-2,1,R,25211,R,12162,R,13049,R,26,R,18,R,8,R,1416,R,692,R,724,R,2164,R,1020,R,1144,R,15324,R,7087,R,8237,R,36,R,23,R,13,R,4566,R,2480,R,2086,R,928,R,439,R,489,R,310,R,164,R,146,R,441,R,239,R,202,A,,A,,2025
229027,24,-2,1,R,4973,R,2353,R,2620,R,6,R,4,R,2,R,316,R,159,R,157,R,481,R,221,R,260,R,3042,R,1381,R,1661,R,8,R,4,R,4,R,784,R,414,R,370,R,178,R,78,R,100,R,49,R,30,R,19,R,109,R,62,R,47,A,,A,,2025
229027,25,-2,1,R,20238,R,9809,R,10429,R,20,R,14,R,6,R,1100,R,533,R,567,R,1683,R,799,R,884,R,12282,R,5706,R,6576,R,28,R,19,R,9,R,3782,R,2066,R,1716,R,750,R,361,R,389,R,261,R,134,R,127,R,332,R,177,R,155,A,,A,,2025
229027,31,-2,1,R,104,R,61,R,43,R,0,R,0,R,0,R,5,R,3,R,2,R,14,R,8,R,6,R,40,R,24,R,16,R,0,R,0,R,0,R,29,R,16,R,13,R,3,R,2,R,1,R,5,R,5,R,0,R,8,R,3,R,5,A,,A,,2025
229027,32,-2,3,R,2582,R,1155,R,1427,R,2,R,2,R,0,R,126,R,58,R,68,R,150,R,72,R,78,R,1097,R,414,R,683,R,10,R,5,R,5,R,531,R,243,R,288,R,97,R,45,R,52,R,29,R,13,R,16,R,540,R,303,R,237,A,,A,,2025
229027,39,-2,1,R,3424,R,1744,R,1680,R,5,R,5,R,0,R,119,R,56,R,63,R,311,R,173,R,138,R,2031,R,1009,R,1022,R,5,R,3,R,2,R,707,R,377,R,330,R,147,R,72,R,75,R,34,R,19,R,15,R,65,R,30,R,35,A,,A,,2025
229027,40,-2,1,R,16814,R,8065,R,8749,R,15,R,9,R,6,R,981,R,477,R,504,R,1372,R,626,R,746,R,10251,R,4697,R,5554,R,23,R,16,R,7,R,3075,R,1689,R,1386,R,603,R,289,R,314,R,227,R,115,R,112,R,267,R,147,R,120,A,,A,,2025
229027,41,-2,999,R,12645,R,6304,R,6341,R,19,R,11,R,8,R,739,R,368,R,371,R,866,R,442,R,424,R,7554,R,3563,R,3991,R,26,R,11,R,15,R,2682,R,1496,R,1186,R,424,R,233,R,191,R,204,R,115,R,89,R,131,R,65,R,66,A,,A,,2025
229027,42,-2,1,R,9904,R,5113,R,4791,R,14,R,9,R,5,R,641,R,312,R,329,R,701,R,379,R,322,R,6009,R,2964,R,3045,R,20,R,8,R,12,R,1971,R,1143,R,828,R,339,R,182,R,157,R,164,R,92,R,72,R,45,R,24,R,21,A,,A,,2025
229027,43,-2,1,R,9131,R,4745,R,4386,R,11,R,7,R,4,R,612,R,295,R,317,R,672,R,359,R,313,R,5531,R,2743,R,2788,R,17,R,7,R,10,R,1822,R,1072,R,750,R,309,R,169,R,140,R,114,R,69,R,45,R,43,R,24,R,19,A,,A,,2025
229027,44,-2,1,R,1630,R,781,R,849,R,4,R,2,R,2,R,292,R,130,R,162,R,101,R,47,R,54,R,784,R,363,R,421,R,5,R,2,R,3,R,337,R,176,R,161,R,61,R,33,R,28,R,25,R,16,R,9,R,21,R,12,R,9,A,,A,,2025
229027,45,-2,1,R,7501,R,3964,R,3537,R,7,R,5,R,2,R,320,R,165,R,155,R,571,R,312,R,259,R,4747,R,2380,R,2367,R,12,R,5,R,7,R,1485,R,896,R,589,R,248,R,136,R,112,R,89,R,53,R,36,R,22,R,12,R,10,A,,A,,2025
229027,51,-2,1,R,773,R,368,R,405,R,3,R,2,R,1,R,29,R,17,R,12,R,29,R,20,R,9,R,478,R,221,R,257,R,3,R,1,R,2,R,149,R,71,R,78,R,30,R,13,R,17,R,50,R,23,R,27,R,2,R,0,R,2,A,,A,,2025
229027,52,-2,3,R,2741,R,1191,R,1550,R,5,R,2,R,3,R,98,R,56,R,42,R,165,R,63,R,102,R,1545,R,599,R,946,R,6,R,3,R,3,R,711,R,353,R,358,R,85,R,51,R,34,R,40,R,23,R,17,R,86,R,41,R,45,A,,A,,2025
229027,59,-2,1,R,1563,R,819,R,744,R,0,R,0,R,0,R,49,R,20,R,29,R,143,R,85,R,58,R,952,R,459,R,493,R,2,R,1,R,1,R,330,R,200,R,130,R,59,R,39,R,20,R,23,R,13,R,10,R,5,R,2,R,3,A,,A,,2025
229027,60,-2,1,R,5938,R,3145,R,2793,R,7,R,5,R,2,R,271,R,145,R,126,R,428,R,227,R,201,R,3795,R,1921,R,1874,R,10,R,4,R,6,R,1155,R,696,R,459,R,189,R,97,R,92,R,66,R,40,R,26,R,17,R,10,R,7,A,,A,,2025
229063,1,1,999,R,9783,R,3548,R,6235,R,20,R,8,R,12,R,119,R,63,R,56,R,8068,R,2807,R,5261,R,868,R,374,R,494,R,5,R,2,R,3,R,171,R,86,R,85,R,324,R,108,R,216,R,19,R,9,R,10,R,189,R,91,R,98,R,0.0,R,9783.0,2025
229063,2,2,1,R,7693,R,2789,R,4904,R,15,R,7,R,8,R,48,R,31,R,17,R,6587,R,2326,R,4261,R,614,R,262,R,352,R,4,R,2,R,2,R,64,R,36,R,28,R,277,R,87,R,190,R,10,R,5,R,5,R,74,R,33,R,41,R,0.0,R,7693.0,2025
229063,3,-2,1,R,7693,R,2789,R,4904,R,15,R,7,R,8,R,48,R,31,R,17,R,6587,R,2326,R,4261,R,614,R,262,R,352,R,4,R,2,R,2,R,64,R,36,R,28,R,277,R,87,R,190,R,10,R,5,R,5,R,74,R,33,R,41,A,,A,,2025
229063,4,-2,1,R,1835,R,717,R,1118,R,3,R,1,R,2,R,6,R,5,R,1,R,1575,R,597,R,978,R,147,R,73,R,74,R,2,R,1,R,1,R,11,R,9,R,2,R,71,R,20,R,51,R,10,R,5,R,5,R,10,R,6,R,4,A,,A,,2025
229063,5,-2,1,R,5858,R,2072,R,3786,R,12,R,6,R,6,R,42,R,26,R,16,R,5012,R,1729,R,3283,R,467,R,189,R,278,R,2,R,1,R,1,R,53,R,27,R,26,R,206,R,67,R,139,R,0,R,0,R,0,R,64,R,27,R,37,A,,A,,2025
229063,12,4,3,R,2090,R,759,R,1331,R,5,R,1,R,4,R,71,R,32,R,39,R,1481,R,481,R,1000,R,254,R,112,R,142,R,1,R,0,R,1,R,107,R,50,R,57,R,47,R,21,R,26,R,9,R,4,R,5,R,115,R,58,R,57,R,0.0,R,2090.0,2025
229063,19,-2,1,R,758,R,306,R,452,R,2,R,1,R,1,R,8,R,6,R,2,R,601,R,235,R,366,R,86,R,41,R,45,R,1,R,1,R,0,R,17,R,9,R,8,R,30,R,8,R,22,R,0,R,0,R,0,R,13,R,5,R,8,A,,A,,2025
229063,20,-2,1,R,5100,R,1766,R,3334,R,10,R,5,R,5,R,34,R,20,R,14,R,4411,R,1494,R,2917,R,381,R,148,R,233,R,1,R,0,R,1,R,36,R,18,R,18,R,176,R,59,R,117,R,0,R,0,R,0,R,51,R,22,R,29,A,,A,,2025
229063,21,-2,999,R,7943,R,2854,R,5089,R,16,R,7,R,9,R,86,R,44,R,42,R,6545,R,2254,R,4291,R,711,R,315,R,396,R,3,R,1,R,2,R,130,R,63,R,67,R,276,R,87,R,189,R,16,R,7,R,9,R,160,R,76,R,84,A,,A,,2025
