UNITID,GRTYPE,CHRTSTAT,SECTION,COHORT,LINE,XGRTOTLT,GRTOTLT,XGRTOTLM,GRTOTLM,XGRTOTLW,GRTOTLW,XGRAIANT,GRAIANT,XGRAIANM,GRAIANM,XGRAIANW,GRAIANW,XGRASIAT,GRASIAT,XGRASIAM,GRASIAM,XGRASIAW,GRASIAW,XGRBKAAT,GRBKAAT,XGRBKAAM,GRBKAAM,XGRBKAAW,GRBKAAW,XGRHISPT,GRHISPT,XGRHISPM,GRHISPM,XGRHISPW,GRHISPW,XGRNHPIT,GRNHPIT,XGRNHPIM,GRNHPIM,XGRNHPIW,GRNHPIW,XGRWHITT,GRWHITT,XGRWHITM,GRWHITM,XGRWHITW,GRWHITW,XGR2MORT,GR2MORT,XGR2MORM,GR2MORM,XGR2MORW,GR2MORW,XGRUNKNT,GRUNKNT,XGRUNKNM,GRUNKNM,XGRUNKNW,GRUNKNW,XGRNRALT,GRNRALT,XGRNRALM,GRNRALM,XGRNRALW,GRNRALW,YEAR
222567,27,10,4,4,10,R,310,R,141.0,R,169.0,R,2.0,R,2.0,R,0.0,R,13.0,R,6.0,R,7.0,R,32.0,R,14.0,R,18.0,R,131.0,R,53.0,R,78.0,R,0.0,R,0.0,R,0.0,R,121.0,R,58.0,R,63.0,R,8.0,R,6.0,R,2.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,2023
222567,29,12,4,4,50,R,310,R,141.0,R,169.0,R,2.0,R,2.0,R,0.0,R,13.0,R,6.0,R,7.0,R,32.0,R,14.0,R,18.0,R,131.0,R,53.0,R,78.0,R,0.0,R,0.0,R,0.0,R,121.0,R,58.0,R,63.0,R,8.0,R,6.0,R,2.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,2023
222567,30,13,4,4,29A,R,104,R,37.0,R,67.0,R,1.0,R,1.0,R,0.0,R,4.0,R,1.0,R,3.0,R,8.0,R,3.0,R,5.0,R,41.0,R,11.0,R,30.0,R,0.0,R,0.0,R,0.0,R,46.0,R,19.0,R,27.0,R,3.0,R,1.0,R,2.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2023
222567,31,14,4,4,11A,R,7,R,3.0,R,4.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,4.0,R,1.0,R,3.0,R,0.0,R,0.0,R,0.0,R,3.0,R,2.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2023
222567,32,15,4,4,12A,R,97,R,34.0,R,63.0,R,1.0,R,1.0,R,0.0,R,4.0,R,1.0,R,3.0,R,8.0,R,3.0,R,5.0,R,37.0,R,10.0,R,27.0,R,0.0,R,0.0,R,0.0,R,43.0,R,17.0,R,26.0,R,3.0,R,1.0,R,2.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2023
222567,33,20,4,4,30,R,65,R,36.0,R,29.0,R,1.0,R,1.0,R,0.0,R,2.0,R,2.0,R,0.0,R,10.0,R,4.0,R,6.0,R,22.0,R,10.0,R,12.0,R,0.0,R,0.0,R,0.0,R,29.0,R,18.0,R,11.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,2023
222567,35,22,4,4,57,R,62,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2023
222567,36,23,4,4,55,R,5,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2023
222567,37,24,4,4,56,R,57,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2023
222567,47,31,4,4,22,R,29,R,13.0,R,16.0,R,0.0,R,0.0,R,0.0,R,2.0,R,1.0,R,1.0,R,3.0,R,1.0,R,2.0,R,18.0,R,8.0,R,10.0,R,0.0,R,0.0,R,0.0,R,4.0,R,2.0,R,2.0,R,1.0,R,1.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,0.0,R,1.0,2023
222567,48,32,4,4,23,R,112,R,55.0,R,57.0,R,0.0,R,0.0,R,0.0,R,5.0,R,2.0,R,3.0,R,11.0,R,6.0,R,5.0,R,50.0,R,24.0,R,26.0,R,0.0,R,0.0,R,0.0,R,42.0,R,19.0,R,23.0,R,3.0,R,3.0,R,0.0,R,0.0,R,0.0,R,0.0,R,1.0,R,1.0,R,0.0,2023
222576,27,10,4,4,10,R,933,R,390.0,R,543.0,R,5.0,R,4.0,R,1.0,R,35.0,R,13.0,R,22.0,R,42.0,R,24.0,R,18.0,R,468.0,R,201.0,R,267.0,Z,0.0,Z,0.0,Z,0.0,R,350.0,R,138.0,R,212.0,R,29.0,R,9.0,R,20.0,R,4.0,R,1.0,R,3.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,29,12,4,4,50,R,933,R,390.0,R,543.0,R,5.0,R,4.0,R,1.0,R,35.0,R,13.0,R,22.0,R,42.0,R,24.0,R,18.0,R,468.0,R,201.0,R,267.0,Z,0.0,Z,0.0,Z,0.0,R,350.0,R,138.0,R,212.0,R,29.0,R,9.0,R,20.0,R,4.0,R,1.0,R,3.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,30,13,4,4,29A,R,286,R,142.0,R,144.0,R,2.0,R,2.0,Z,0.0,R,13.0,R,6.0,R,7.0,R,12.0,R,8.0,R,4.0,R,129.0,R,74.0,R,55.0,Z,0.0,Z,0.0,Z,0.0,R,122.0,R,49.0,R,73.0,R,6.0,R,2.0,R,4.0,R,2.0,R,1.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,31,14,4,4,11A,R,49,R,33.0,R,16.0,Z,0.0,Z,0.0,Z,0.0,R,2.0,R,1.0,R,1.0,R,3.0,R,3.0,Z,0.0,R,28.0,R,20.0,R,8.0,Z,0.0,Z,0.0,Z,0.0,R,16.0,R,9.0,R,7.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,32,15,4,4,12A,R,237,R,109.0,R,128.0,R,2.0,R,2.0,Z,0.0,R,11.0,R,5.0,R,6.0,R,9.0,R,5.0,R,4.0,R,101.0,R,54.0,R,47.0,Z,0.0,Z,0.0,Z,0.0,R,106.0,R,40.0,R,66.0,R,6.0,R,2.0,R,4.0,R,2.0,R,1.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,33,20,4,4,30,R,115,R,49.0,R,66.0,Z,0.0,Z,0.0,Z,0.0,R,4.0,R,2.0,R,2.0,R,4.0,R,3.0,R,1.0,R,47.0,R,23.0,R,24.0,Z,0.0,Z,0.0,Z,0.0,R,51.0,R,19.0,R,32.0,R,7.0,R,2.0,R,5.0,R,2.0,Z,0.0,R,2.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,35,22,4,4,57,R,153,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2023
222576,36,23,4,4,55,R,32,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2023
222576,37,24,4,4,56,R,121,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,2023
222576,47,31,4,4,22,R,137,R,46.0,R,91.0,Z,0.0,Z,0.0,Z,0.0,R,7.0,R,3.0,R,4.0,R,4.0,R,3.0,R,1.0,R,86.0,R,23.0,R,63.0,Z,0.0,Z,0.0,Z,0.0,R,36.0,R,15.0,R,21.0,R,4.0,R,2.0,R,2.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,2023
222576,48,32,4,4,23,R,395,R,153.0,R,242.0,R,3.0,R,2.0,R,1.0,R,11.0,R,2.0,R,9.0,R,22.0,R,10.0,R,12.0,R,206.0,R,81.0,R,125.0,Z,0.0,Z,0.0,Z,0.0,R,141.0,R,55.0,R,86.0,R,12.0,R,3.0,R,9.0,R,0.0,R,0.0,R,0.0,Z,0.0,Z,0.0,Z,0.0,2023
222822,27,10,4,4,10,R,462,R,160.0,R,302.0,R,3.0,R,2.0,R,1.0,R,1.0,R,1.0,R,0.0,R,62.0,R,19.0,R,43.0,R,140.0,R,52.0,R,88.0,R,0.0,R,0.0,R,0.0,R,230.0,R,72.0,R,158.0,R,13.0,R,6.0,R,7.0,R,2.0,R,2.0,R,0.0,R,11.0,R,6.0,R,5.0,2023
222822,28,11,4,4,45,R,1,Z,0.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,R,1.0,Z,0.0,R,1.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,2023
