UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR ,YEAR
228501,R,240.0,R,536.0,R,45.0,R,192.0,R,0.0,R,0.0,R,192.0,R,94.0,R,49.0,R,4.0,R,0.0,R,0.0,R,4.0,R,1.0,R,25.0,R,12.0,2022
228529,R,2247.0,R,3754.0,R,60.0,R,2001.0,R,0.0,R,0.0,R,2001.0,R,1410.0,R,70.0,R,147.0,R,0.0,R,0.0,R,147.0,R,105.0,R,71.0,R,17.0,2022
228547,R,2099.0,R,8215.0,R,26.0,R,1583.0,Z,0.0,Z,0.0,R,1583.0,R,1134.0,R,72.0,R,3403.0,Z,0.0,Z,0.0,R,3403.0,R,2113.0,R,62.0,R,19.0,2022
228608,R,373.0,R,1909.0,R,20.0,R,248.0,Z,0.0,Z,0.0,R,248.0,R,172.0,R,69.0,R,266.0,Z,0.0,Z,0.0,R,266.0,R,96.0,R,36.0,R,18.0,2022
228644,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,5.0,2022
228653,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,10.0,2022
228699,R,235.0,R,520.0,R,45.0,R,267.0,R,0.0,R,0.0,R,267.0,R,127.0,R,48.0,R,114.0,R,0.0,R,0.0,R,114.0,R,48.0,R,42.0,R,18.0,2022
228705,R,1066.0,R,1512.0,R,71.0,R,896.0,R,0.0,Z,0.0,R,896.0,R,569.0,R,64.0,R,39.0,R,0.0,Z,0.0,R,39.0,R,16.0,R,41.0,R,16.0,2022
228723,R,11382.0,R,15725.0,R,72.0,R,11153.0,Z,0.0,Z,0.0,R,11153.0,R,10545.0,R,95.0,R,1170.0,Z,0.0,Z,0.0,R,1170.0,R,1072.0,R,92.0,R,18.0,2022
228769,R,4310.0,R,9080.0,R,47.0,R,4010.0,R,0.0,R,0.0,R,4010.0,R,2972.0,R,74.0,R,569.0,R,0.0,R,0.0,R,569.0,R,170.0,R,30.0,R,24.0,2022
228778,R,8979.0,R,11233.0,R,80.0,R,8915.0,R,0.0,R,0.0,R,8915.0,R,8496.0,R,95.0,R,145.0,R,0.0,R,0.0,R,145.0,R,123.0,R,85.0,R,18.0,2022
228787,R,3933.0,R,5982.0,R,66.0,R,3840.0,R,0.0,R,0.0,R,3840.0,R,3351.0,R,87.0,R,202.0,R,0.0,R,0.0,R,202.0,R,140.0,R,69.0,R,27.0,2022
228796,R,2971.0,R,5275.0,R,56.0,R,2717.0,R,0.0,R,0.0,R,2717.0,R,2046.0,R,75.0,R,378.0,R,0.0,R,0.0,R,378.0,R,208.0,R,55.0,R,19.0,2022
228802,R,975.0,R,2262.0,R,43.0,R,1113.0,Z,0.0,Z,0.0,R,1113.0,R,676.0,R,61.0,R,56.0,R,0.0,R,0.0,R,56.0,R,31.0,R,55.0,R,15.0,2022
228909,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,1.0,2022
229018,R,634.0,R,1679.0,R,38.0,R,453.0,R,0.0,R,0.0,R,453.0,R,300.0,R,66.0,R,26.0,R,0.0,R,0.0,R,26.0,R,9.0,R,35.0,R,18.0,2022
