UNITID,EFFYALEV,EFFYLEV,LSTUDY,XEYTOTLT,EFYTOTLT,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEFYAIAT,EFYAIANT,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIT,EFYASIAT,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAT,EFYBKAAT,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYHIST,EFYHISPT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYNHPT,EFYNHPIT,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIT,EFYWHITT,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOT,EFY2MORT,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEYUNKNT,EFYUNKNT,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYNRALT,EFYNRALT,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XEFYGUUN,EFYGUUN,XEFYGUAN,EFYGUAN,XEFYGUTO,EFYGUTOT,XEFYGUKN,EFYGUKN ,YEAR
222567,42,-2,1,R,5684,R,2298,R,3386,R,46,R,18,R,28,R,527,R,248,R,279,R,909,R,343,R,566,R,2074,R,798,R,1276,R,8,R,6,R,2,R,2002,R,833,R,1169,R,0,R,0,R,0,R,67,R,38,R,29,R,51,R,14,R,37,A,,A,,A,,A,,2022
222567,43,-2,1,R,3575,R,1457,R,2118,R,32,R,16,R,16,R,214,R,96,R,118,R,526,R,234,R,292,R,1328,R,500,R,828,R,4,R,3,R,1,R,1390,R,572,R,818,R,0,R,0,R,0,R,45,R,26,R,19,R,36,R,10,R,26,A,,A,,A,,A,,2022
222567,44,-2,1,R,710,R,369,R,341,R,10,R,7,R,3,R,47,R,19,R,28,R,110,R,66,R,44,R,261,R,130,R,131,R,0,R,0,R,0,R,260,R,137,R,123,R,0,R,0,R,0,R,17,R,9,R,8,R,5,R,1,R,4,A,,A,,A,,A,,2022
222567,45,-2,1,R,2865,R,1088,R,1777,R,22,R,9,R,13,R,167,R,77,R,90,R,416,R,168,R,248,R,1067,R,370,R,697,R,4,R,3,R,1,R,1130,R,435,R,695,R,0,R,0,R,0,R,28,R,17,R,11,R,31,R,9,R,22,A,,A,,A,,A,,2022
222567,51,-2,1,R,2109,R,841,R,1268,R,14,R,2,R,12,R,313,R,152,R,161,R,383,R,109,R,274,R,746,R,298,R,448,R,4,R,3,R,1,R,612,R,261,R,351,R,0,R,0,R,0,R,22,R,12,R,10,R,15,R,4,R,11,A,,A,,A,,A,,2022
222567,59,-2,1,R,420,R,154,R,266,R,3,R,2,R,1,R,25,R,10,R,15,R,107,R,37,R,70,R,117,R,34,R,83,R,0,R,0,R,0,R,163,R,68,R,95,R,0,R,0,R,0,R,5,R,3,R,2,R,0,R,0,R,0,A,,A,,A,,A,,2022
222567,60,-2,1,R,2445,R,934,R,1511,R,19,R,7,R,12,R,142,R,67,R,75,R,309,R,131,R,178,R,950,R,336,R,614,R,4,R,3,R,1,R,967,R,367,R,600,R,0,R,0,R,0,R,23,R,14,R,9,R,31,R,9,R,22,A,,A,,A,,A,,2022
222576,1,1,999,R,11788,R,4144,R,7644,R,87,R,31,R,56,R,357,R,133,R,224,R,736,R,275,R,461,R,5239,R,1765,R,3474,R,8,R,4,R,4,R,4903,R,1763,R,3140,R,345,R,126,R,219,R,113,R,47,R,66,Z,0,Z,0,Z,0,R,1.0,A,,R,1.0,R,11787.0,2022
222576,2,2,1,R,11788,R,4144,R,7644,R,87,R,31,R,56,R,357,R,133,R,224,R,736,R,275,R,461,R,5239,R,1765,R,3474,R,8,R,4,R,4,R,4903,R,1763,R,3140,R,345,R,126,R,219,R,113,R,47,R,66,Z,0,Z,0,Z,0,R,1.0,A,,R,1.0,R,11787.0,2022
222576,3,-2,1,R,9371,R,3167,R,6204,R,67,R,24,R,43,R,267,R,100,R,167,R,673,R,251,R,422,R,4397,R,1429,R,2968,R,8,R,4,R,4,R,3614,R,1234,R,2380,R,260,R,87,R,173,R,85,R,38,R,47,Z,0,Z,0,Z,0,A,,A,,A,,A,,2022
