UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR,YEAR
222567,R,423.0,R,2191.0,R,19.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,19.0,2024
222576,R,1109.0,R,2587.0,R,43.0,R,1112.0,R,1.0,R,0.0,R,1111.0,R,753.0,R,68.0,R,379.0,R,0.0,R,0.0,R,379.0,R,169.0,R,45.0,R,19.0,2024
222822,R,541.0,R,1606.0,R,34.0,R,494.0,R,0.0,R,0.0,R,494.0,R,271.0,R,55.0,R,226.0,R,0.0,R,0.0,R,226.0,R,96.0,R,42.0,R,17.0,2024
222831,R,1473.0,R,4269.0,R,35.0,R,1423.0,R,1.0,Z,0.0,R,1422.0,R,976.0,R,69.0,R,19.0,R,0.0,Z,0.0,R,19.0,R,6.0,R,32.0,R,19.0,2024
222992,R,3288.0,R,11131.0,R,30.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,19.0,2024
223320,R,356.0,R,1602.0,R,22.0,R,259.0,R,0.0,R,0.0,R,259.0,R,103.0,R,40.0,R,402.0,R,0.0,R,0.0,R,402.0,R,178.0,R,44.0,R,12.0,2024
223427,R,3703.0,R,9289.0,R,40.0,R,3565.0,R,0.0,R,0.0,R,3565.0,R,1604.0,R,45.0,R,2104.0,Z,0.0,Z,0.0,R,2104.0,R,652.0,R,31.0,R,28.0,2024
223506,R,149.0,R,1186.0,R,13.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20.0,2024
223816,R,716.0,R,2258.0,R,32.0,R,458.0,R,0.0,R,0.0,R,458.0,R,275.0,R,60.0,R,991.0,R,1.0,R,0.0,R,990.0,R,452.0,R,46.0,R,17.0,2024
223898,R,376.0,R,1612.0,R,23.0,R,325.0,R,0.0,R,0.0,R,325.0,R,217.0,R,67.0,R,162.0,R,0.0,R,0.0,R,162.0,R,58.0,R,36.0,R,14.0,2024
223922,R,175.0,R,821.0,R,21.0,R,216.0,R,0.0,R,0.0,R,216.0,R,132.0,R,61.0,R,377.0,R,0.0,R,0.0,R,377.0,R,192.0,R,51.0,R,19.0,2024
224110,R,727.0,R,4981.0,R,15.0,R,802.0,R,1.0,R,0.0,R,801.0,R,529.0,R,66.0,R,565.0,R,0.0,R,0.0,R,565.0,R,294.0,R,52.0,R,19.0,2024
224147,R,2164.0,R,3129.0,R,69.0,R,1994.0,R,0.0,R,0.0,R,1994.0,R,1165.0,R,58.0,R,65.0,R,0.0,R,0.0,R,65.0,R,30.0,R,46.0,R,19.0,2024
224350,R,308.0,R,1163.0,R,26.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,12.0,2024
224545,R,353.0,R,775.0,R,46.0,R,248.0,R,0.0,R,0.0,R,248.0,R,158.0,R,64.0,R,9.0,R,0.0,R,0.0,R,9.0,R,4.0,R,44.0,R,14.0,2024
224554,R,1108.0,R,2474.0,R,45.0,R,1038.0,R,0.0,R,0.0,R,1038.0,R,594.0,R,57.0,R,66.0,R,0.0,R,0.0,R,66.0,R,28.0,R,42.0,R,17.0,2024
224615,R,3893.0,R,19620.0,R,20.0,R,18.0,R,0.0,R,0.0,R,18.0,R,12.0,R,67.0,R,31.0,R,0.0,R,0.0,R,31.0,R,21.0,R,68.0,R,22.0,2024
224642,R,2434.0,R,5238.0,R,46.0,R,2339.0,R,0.0,R,0.0,R,2339.0,R,1466.0,R,63.0,R,1597.0,R,1.0,R,0.0,R,1596.0,R,828.0,R,52.0,R,21.0,2024
224891,R,207.0,R,373.0,R,55.0,R,267.0,R,0.0,R,0.0,R,267.0,R,101.0,R,38.0,R,53.0,R,0.0,R,0.0,R,53.0,R,23.0,R,43.0,R,20.0,2024
224961,R,237.0,R,567.0,R,42.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,14.0,2024
225070,R,401.0,R,1274.0,R,31.0,R,3.0,R,0.0,R,0.0,R,3.0,R,2.0,R,67.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,20.0,2024
225308,R,699.0,R,2952.0,R,24.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,21.0,2024
225371,R,255.0,R,1625.0,R,16.0,R,357.0,R,0.0,R,0.0,R,357.0,R,181.0,R,51.0,R,139.0,R,0.0,R,0.0,R,139.0,R,58.0,R,42.0,R,14.0,2024
225414,R,364.0,R,1438.0,R,25.0,R,356.0,R,0.0,R,0.0,R,356.0,R,265.0,R,74.0,R,82.0,R,0.0,R,0.0,R,82.0,R,55.0,R,67.0,R,15.0,2024
225423,R,5177.0,R,12962.0,R,40.0,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,23.0,2024
225432,R,857.0,R,3374.0,R,25.0,R,1343.0,R,0.0,R,0.0,R,1343.0,R,901.0,R,67.0,R,148.0,R,0.0,R,0.0,R,148.0,R,83.0,R,56.0,R,18.0,2024
225502,R,204.0,R,630.0,R,32.0,R,149.0,R,0.0,R,0.0,R,149.0,R,97.0,R,65.0,R,24.0,R,0.0,R,0.0,R,24.0,R,12.0,R,50.0,R,15.0,2024
225511,R,5778.0,R,11094.0,R,52.0,R,5214.0,R,1.0,R,0.0,R,5213.0,R,4535.0,R,87.0,R,438.0,R,0.0,R,0.0,R,438.0,R,324.0,R,74.0,R,22.0,2024
225520,R,290.0,R,1817.0,R,16.0,R,279.0,R,0.0,R,0.0,R,279.0,R,197.0,R,71.0,R,129.0,Z,0.0,Z,0.0,R,129.0,R,63.0,R,49.0,R,25.0,2024
226019,R,805.0,R,3922.0,R,21.0,R,772.0,R,0.0,R,0.0,R,772.0,R,504.0,R,65.0,R,179.0,R,1.0,R,0.0,R,178.0,R,72.0,R,40.0,R,20.0,2024
226091,R,1609.0,R,2497.0,R,64.0,R,1458.0,R,0.0,R,0.0,R,1458.0,R,902.0,R,62.0,R,97.0,R,0.0,R,0.0,R,97.0,R,43.0,R,44.0,R,20.0,2024
